value;date
229890.00;17/10/2020
22000.00;29/11/2020
113000.00;5/11/2020
350636.00;15/12/2020
500000.00;14/09/2020
95302.00;11/05/2020
78280.00;19/12/2020
144000.00;14/07/2020
214200.00;6/05/2020
703500.00;2/08/2020
135467.00;20/05/2020
356000.00;4/06/2020
10000000.00;11/11/2020
192274.00;17/11/2020
647600.00;15/08/2020
10000000.00;4/07/2020
1000000.00;3/07/2020
3600000.00;10/08/2020
2400000.00;26/09/2020
2000000.00;26/12/2020
850448.00;23/05/2020
5376000.00;8/11/2020
180000.00;21/07/2020
551826.00;18/09/2020
476600.00;4/08/2020
1150000.00;23/10/2020
343250.00;20/08/2020
339953.00;17/07/2020
489000.00;9/12/2020
167000.00;2/06/2020
1163648.00;31/08/2020
109447.00;4/09/2020
700000.00;16/10/2020
126306.00;15/10/2020
2082100.00;5/09/2020
367256.00;4/11/2020
118000.00;27/12/2020
156195.00;9/05/2020
454800.00;28/12/2020
304983.00;31/08/2020
148000.00;24/07/2020
14164.00;27/08/2020
297169.00;11/09/2020
33333.00;27/10/2020
136000.00;26/07/2020
350000.00;5/08/2020
213346.00;22/06/2020
160000.00;25/07/2020
583187.00;2/08/2020
126562.00;3/07/2020
708000.00;13/12/2020
565493.00;14/06/2020
558543.00;17/12/2020
553680.00;24/06/2020
205758.00;22/09/2020
7500000.00;19/05/2020
5644000.00;8/10/2020
6000000.00;29/05/2020
83000.00;22/11/2020
859356.00;28/08/2020
498492.00;19/06/2020
32938.00;4/07/2020
2750000.00;4/10/2020
39849.00;6/10/2020
131000.00;1/08/2020
38931.00;1/12/2020
923026.00;15/09/2020
1200000.00;21/10/2020
1650000.00;26/06/2020
128600.00;23/05/2020
1500000.00;25/12/2020
450000.00;6/05/2020
558900.00;29/08/2020
636000.00;29/09/2020
669849.00;16/09/2020
18000.00;19/12/2020
10000000.00;29/10/2020
77500.00;9/12/2020
544000.00;15/09/2020
250000.00;29/07/2020
565000.00;19/10/2020
129947.00;4/05/2020
10000000.00;16/08/2020
37823.00;18/10/2020
115000.00;22/05/2020
